Date,AE_0,AE_1,AE_2
2004-07-02,1.2830881,2.5784633,-0.3943997
2004-07-05,1.28088546,2.574101085,-0.39002687
2004-07-06,1.2861234897009965,2.582715205647841,-0.3768974413953488
2004-07-07,1.2958167971039602,2.6013335217079208,-0.38839189763366333
2004-07-08,1.2949642491264879,2.60018519555891,-0.3939190545157938
2004-07-09,1.2942083309295878,2.599041533577879,-0.39714305249808085
2004-07-12,1.2942025163449202,2.600043267784202,-0.4106763655163715
2004-07-13,1.291832117163889,2.5959699605777486,-0.4142771990634557
2004-07-14,1.290666421885411,2.5937484999071145,-0.4131297744808799
2004-07-15,1.2865214420013316,2.5862542421057833,-0.4144598848859131
2004-07-16,1.289066161069297,2.5917488726243714,-0.42559071702148343
2004-07-19,1.291094779604979,2.5964519471926377,-0.43877830590485306
2004-07-20,1.2914004337125125,2.597773634693487,-0.4489601882335376
2004-07-21,1.281229649044168,2.5781241258774235,-0.4353748823948332
2004-07-22,1.2769901727612196,2.5694189641584124,-0.4228319861828728
2004-07-23,1.268969660854525,2.553599641147501,-0.4077873491098307
2004-07-26,1.2591795532969154,2.5346130264759696,-0.3937408160164972
2004-07-27,1.249280192973447,2.5152873450317537,-0.37783719981618735
2004-07-28,1.2425822720712278,2.50197119820232,-0.363864103561302
2004-07-29,1.2383867667673334,2.493534997471499,-0.353839543117179
2004-07-30,1.2324647932123345,2.481922755604795,-0.3436403940021164
2004-08-02,1.2268613337902492,2.471602588031996,-0.3429125389468118
2004-08-03,1.2227242516756545,2.464156874607722,-0.34469807228662286
2004-08-04,1.2170526572583247,2.454036154598628,-0.3483048718541453
2004-08-05,1.2112014225409908,2.443134255108914,-0.3458688689601427
2004-08-06,1.2088567986767789,2.439129918598119,-0.3497600421592531
2004-08-09,1.208128276628849,2.4378778890782673,-0.35086503024419435
2004-08-10,1.2104751432708147,2.442369226796687,-0.35342840923955793
2004-08-11,1.2082727596401843,2.4386251229737423,-0.3573151974469788
2004-08-12,1.203159946031898,2.429297349036085,-0.35783815929118434
2004-08-13,1.2042216297588484,2.431726295339859,-0.36430714308761525
2004-08-16,1.2067961749066938,2.437354704081282,-0.3764948285267656
2004-08-17,1.207610717837111,2.4394623805193474,-0.3847213257973615
2004-08-18,1.20828412043071,2.441071299270231,-0.3897372854400422
2004-08-19,1.2146275669851738,2.4533758047933927,-0.3988688345175275
2004-08-20,1.2208836413515585,2.465312102801614,-0.4052178370563365
2004-08-23,1.221049787446603,2.4657512550549594,-0.4070196628766544
2004-08-24,1.2171495415087854,2.4584513746498917,-0.40495389273320537
2004-08-25,1.2132571257334324,2.4514699198390404,-0.4069538960050021
2004-08-26,1.2075040785734705,2.4409248178402225,-0.4068828953619764
2004-08-27,1.2004572177023014,2.427851357680618,-0.4046985125296376
2004-08-30,1.194137396472063,2.4161824324804066,-0.40348511770475043
2004-08-31,1.1916921597290375,2.4120962593091373,-0.4087464283143048
2004-09-01,1.1892463727468474,2.4082588869268022,-0.4173467509130423
2004-09-02,1.1868157230177012,2.404531006560798,-0.4270405842214951
2004-09-03,1.1812870499173194,2.3950505492973475,-0.43570597421806195
2004-09-06,1.1773370696772136,2.3883876062523153,-0.44337288073504544
2004-09-07,1.1752565387428973,2.384961053119021,-0.448519705418554
2004-09-08,1.1720330496390952,2.379427419259841,-0.45349195305665224
2004-09-09,1.171987238602577,2.3797499571910645,-0.45892554014094133
2004-09-10,1.1756339080282585,2.387223106140202,-0.4695174496717416
2004-09-13,1.1768043046022032,2.389332639749022,-0.4690542361178521
2004-09-14,1.1824756401376963,2.4003114601536955,-0.4769248260789639
2004-09-15,1.180253189115649,2.3964813374995644,-0.48015229937978315
2004-09-16,1.1763883652468485,2.3895134912485037,-0.48165757099537715
2004-09-17,1.1747096403656643,2.3859054816853553,-0.47453948979559624
2004-09-20,1.1760437383112003,2.3884009300869713,-0.47522526994970077
2004-09-21,1.1850998293691952,2.4051324539461,-0.47710276832974835
2004-09-22,1.192480840907847,2.418659214438839,-0.47716259815591566
2004-09-23,1.1977144825401342,2.4280015033141833,-0.47387533363565854
2004-09-24,1.2023203079552682,2.4368362726456723,-0.4791794985873851
2004-09-27,1.2051554631646373,2.4425180273395997,-0.4856979427793524
2004-09-28,1.211979146465007,2.4549683171598162,-0.4850178491665201
2004-09-29,1.222589638806463,2.4737707819499595,-0.47651140682043464
2004-09-30,1.233375873272968,2.493565955339425,-0.47697152475782617
2004-10-01,1.2428054220998825,2.5111278127340775,-0.48080314158561777
2004-10-04,1.2448822756356357,2.5145160335086696,-0.4752335659566995
2004-10-05,1.2539764544802154,2.5308209558315276,-0.4704757210528939
2004-10-06,1.2596525773515914,2.5410303737622426,-0.4679428747689913
2004-10-07,1.2650032038964452,2.5502966404299783,-0.4607741027597117
2004-10-08,1.2728263719026855,2.5649438062234795,-0.4649835522631899
2004-10-11,1.2798826534862473,2.578467775911064,-0.4729591106330821
2004-10-12,1.2785916432004698,2.5762783247939955,-0.475307900629546
2004-10-13,1.2736842336010643,2.566801298734728,-0.46880435274827403
2004-10-14,1.2713195177129857,2.5621897703505776,-0.4650708366170707
2004-10-15,1.2728305693975357,2.565272903747911,-0.46928005459760136
2004-10-18,1.274202829774297,2.5677901581021163,-0.4693224137699225
2004-10-19,1.2773124066744064,2.5734267484361495,-0.4685163529560557
2004-10-20,1.2845383882210208,2.586692614086155,-0.4688854561030701
2004-10-21,1.2943779914121076,2.6047679952710685,-0.4695389277903905
2004-10-22,1.304513139312523,2.6232772704733427,-0.4687545517600535
